epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1083.04,1.15366,1.17806,1.41552,0.66759,0.53264,0.59376,0.3673,1.10229,0.93345,1.35017,0.00946048,0.00946048,0.00946048
17,1148.6,1.14499,1.15981,1.41401,0.70242,0.54554,0.60561,0.37834,1.05061,0.89773,1.29976,0.00938772,0.00938772,0.00938772
18,1214.05,1.13514,1.1468,1.40329,0.6958,0.56553,0.63574,0.40577,1.04925,0.85241,1.30495,0.00931067,0.00931067,0.00931067
19,1279.71,1.13264,1.12938,1.40163,0.72341,0.56434,0.63265,0.40062,1.02682,0.87077,1.28184,0.00922942,0.00922942,0.00922942
20,1345.18,1.12903,1.13317,1.39831,0.68999,0.6019,0.65292,0.41973,1.03801,0.83794,1.26803,0.00914405,0.00914405,0.00914405
21,1410.68,1.11674,1.10938,1.38412,0.72648,0.57089,0.64247,0.41514,1.00875,0.84991,1.27389,0.00905463,0.00905463,0.00905463
22,1476.19,1.11151,1.09431,1.38424,0.72067,0.61063,0.66944,0.4386,0.97572,0.7935,1.24539,0.00896127,0.00896127,0.00896127
23,1541.65,1.09266,1.08383,1.37225,0.70058,0.59233,0.65252,0.42893,0.97165,0.80524,1.24928,0.00886404,0.00886404,0.00886404
24,1607.23,1.09771,1.07995,1.3693,0.72343,0.60374,0.67354,0.43959,0.97714,0.79123,1.2397,0.00876305,0.00876305,0.00876305
25,1672.86,1.0853,1.06663,1.36687,0.72493,0.62233,0.67924,0.44998,0.95796,0.76258,1.2247,0.00865839,0.00865839,0.00865839
26,1738.23,1.08621,1.05545,1.36465,0.74937,0.61,0.68038,0.45587,0.95177,0.75627,1.2305,0.00855018,0.00855018,0.00855018
27,1803.67,1.07663,1.05824,1.3586,0.74872,0.6204,0.68795,0.46328,0.94534,0.73936,1.21327,0.00843851,0.00843851,0.00843851
28,1869.16,1.06598,1.03801,1.35081,0.72589,0.6312,0.68838,0.46188,0.93321,0.7338,1.21367,0.00832349,0.00832349,0.00832349
29,1934.56,1.06605,1.02418,1.34358,0.76421,0.63345,0.7068,0.47519,0.91967,0.71646,1.20089,0.00820525,0.00820525,0.00820525
30,1999.97,1.05996,1.03133,1.35151,0.74643,0.63176,0.69249,0.46701,0.91985,0.71605,1.20658,0.00808389,0.00808389,0.00808389
31,2065.23,1.05426,1.01884,1.34295,0.7639,0.63963,0.70936,0.47846,0.91093,0.71585,1.19431,0.00795954,0.00795954,0.00795954
32,2130.75,1.04531,1.00531,1.33834,0.76155,0.64499,0.7102,0.48768,0.90285,0.6971,1.17757,0.00783231,0.00783231,0.00783231
33,2196.38,1.0394,0.99588,1.32753,0.74349,0.66259,0.71611,0.48856,0.92021,0.68902,1.18118,0.00770234,0.00770234,0.00770234
34,2261.68,1.03842,0.99471,1.32554,0.76576,0.65953,0.71904,0.49474,0.89611,0.68738,1.17524,0.00756976,0.00756976,0.00756976
35,2327.28,1.03034,0.98141,1.31852,0.75539,0.67143,0.72525,0.49746,0.90259,0.67554,1.16966,0.00743468,0.00743468,0.00743468
36,2392.72,1.02164,0.96974,1.31939,0.74942,0.67715,0.72899,0.49917,0.88378,0.66738,1.17226,0.00729725,0.00729725,0.00729725
37,2458.27,1.0228,0.9659,1.31463,0.7782,0.66978,0.73395,0.50857,0.87825,0.66041,1.16171,0.00715761,0.00715761,0.00715761
38,2523.72,1.02225,0.97014,1.32052,0.7886,0.66711,0.73516,0.50903,0.87058,0.65337,1.15712,0.00701588,0.00701588,0.00701588
39,2589.17,1.00991,0.95161,1.30749,0.76101,0.67707,0.73213,0.50686,0.86811,0.64872,1.15818,0.00687222,0.00687222,0.00687222
40,2654.75,0.99645,0.93278,1.29922,0.77258,0.67078,0.73699,0.51555,0.85237,0.63446,1.14217,0.00672675,0.00672675,0.00672675
41,2720.13,1.00069,0.94492,1.29873,0.77707,0.67579,0.73927,0.51921,0.85307,0.63799,1.1415,0.00657963,0.00657963,0.00657963
42,2785.65,0.99923,0.93251,1.29772,0.78211,0.68193,0.7412,0.52135,0.84726,0.63546,1.14035,0.00643101,0.00643101,0.00643101
43,2851.1,0.98889,0.91793,1.29152,0.76193,0.6891,0.7422,0.52374,0.84192,0.62649,1.1348,0.00628101,0.00628101,0.00628101
44,2916.39,0.99249,0.93021,1.29509,0.76479,0.70039,0.74628,0.52899,0.83289,0.62005,1.13111,0.00612981,0.00612981,0.00612981
45,2981.73,0.9817,0.90361,1.2859,0.76122,0.70317,0.75047,0.52951,0.83218,0.61333,1.13152,0.00597754,0.00597754,0.00597754
46,3047.21,0.9764,0.91031,1.28746,0.77452,0.6988,0.74949,0.53134,0.83146,0.61118,1.13464,0.00582435,0.00582435,0.00582435
47,3112.61,0.96879,0.89468,1.27871,0.77835,0.69611,0.7523,0.53488,0.82474,0.60212,1.12422,0.0056704,0.0056704,0.0056704
48,3178.12,0.96737,0.89346,1.2768,0.79478,0.6906,0.75406,0.53568,0.8255,0.60498,1.12402,0.00551584,0.00551584,0.00551584
49,3243.46,0.96423,0.88799,1.27456,0.79173,0.6921,0.75633,0.53828,0.81749,0.60027,1.12169,0.00536081,0.00536081,0.00536081
50,3308.61,0.9559,0.879,1.27465,0.7774,0.70839,0.7591,0.5427,0.81336,0.59454,1.11821,0.00520548,0.00520548,0.00520548
51,3373.76,0.95028,0.86558,1.26531,0.77128,0.71494,0.76311,0.54563,0.81135,0.59311,1.11754,0.00505,0.00505,0.00505
52,3439.03,0.95264,0.86908,1.26742,0.79298,0.71092,0.76475,0.54674,0.80813,0.58881,1.11369,0.00489452,0.00489452,0.00489452
53,3504.12,0.94567,0.87539,1.26295,0.7973,0.71031,0.76647,0.54837,0.80694,0.58489,1.1132,0.00473919,0.00473919,0.00473919
54,3569.17,0.93571,0.84608,1.25071,0.79126,0.71568,0.76617,0.55053,0.80779,0.58365,1.11307,0.00458416,0.00458416,0.00458416
55,3634.15,0.93349,0.84826,1.25066,0.80618,0.70888,0.76875,0.55277,0.80619,0.58224,1.11468,0.0044296,0.0044296,0.0044296
56,3699.59,0.93633,0.84688,1.25527,0.81097,0.70826,0.76907,0.55372,0.80234,0.57789,1.11089,0.00427565,0.00427565,0.00427565
57,3764.91,0.91755,0.82663,1.24072,0.80687,0.71686,0.77123,0.5565,0.79737,0.57023,1.10502,0.00412246,0.00412246,0.00412246
58,3830.27,0.92051,0.83287,1.25165,0.78354,0.727,0.77215,0.55796,0.79229,0.56658,1.10097,0.00397019,0.00397019,0.00397019
59,3895.96,0.91705,0.82034,1.24068,0.78471,0.73276,0.77442,0.55914,0.79133,0.566,1.09939,0.00381899,0.00381899,0.00381899
60,3961.18,0.91317,0.81913,1.24121,0.80534,0.71915,0.77421,0.55986,0.79011,0.56249,1.09711,0.00366899,0.00366899,0.00366899
61,4026.72,0.90137,0.80933,1.23253,0.80489,0.71776,0.7741,0.56063,0.78763,0.56109,1.09544,0.00352037,0.00352037,0.00352037
62,4091.94,0.90091,0.80511,1.23438,0.81457,0.71545,0.77372,0.56122,0.7867,0.55913,1.09534,0.00337325,0.00337325,0.00337325
63,4157.38,0.89867,0.80482,1.23422,0.80073,0.72543,0.77588,0.56208,0.78719,0.55825,1.09509,0.00322778,0.00322778,0.00322778
64,4222.83,0.89292,0.78991,1.22657,0.80679,0.72693,0.777,0.56444,0.78609,0.55659,1.09338,0.00308412,0.00308412,0.00308412
65,4287.98,0.88839,0.78777,1.22537,0.8046,0.72953,0.77847,0.56726,0.78399,0.55465,1.09089,0.00294239,0.00294239,0.00294239
66,4352.96,0.88291,0.78158,1.21908,0.80856,0.73343,0.78038,0.56882,0.78264,0.55302,1.08966,0.00280275,0.00280275,0.00280275
67,4417.91,0.87532,0.76689,1.21264,0.81062,0.7344,0.78173,0.57022,0.78033,0.55146,1.08853,0.00266532,0.00266532,0.00266532
68,4483.02,0.87378,0.76983,1.21535,0.81183,0.73228,0.78214,0.57133,0.77789,0.54971,1.08709,0.00253024,0.00253024,0.00253024
69,4548.05,0.87526,0.77124,1.21304,0.80935,0.73291,0.7824,0.57132,0.77677,0.54933,1.08658,0.00239766,0.00239766,0.00239766
70,4613.15,0.86805,0.76058,1.21044,0.81314,0.73236,0.78175,0.57198,0.7749,0.54784,1.08603,0.00226769,0.00226769,0.00226769
71,4678.16,0.86007,0.7504,1.20607,0.8099,0.73299,0.78238,0.57277,0.77443,0.54713,1.08552,0.00214046,0.00214046,0.00214046
72,4743.53,0.85403,0.74085,1.19955,0.81217,0.73368,0.78246,0.57344,0.77313,0.54567,1.08455,0.00201611,0.00201611,0.00201611
73,4809.13,0.8514,0.7393,1.19775,0.80942,0.73487,0.78258,0.57361,0.77217,0.54491,1.08383,0.00189475,0.00189475,0.00189475
74,4874.48,0.84931,0.74039,1.19803,0.80948,0.73451,0.78308,0.57447,0.77125,0.54393,1.08312,0.00177651,0.00177651,0.00177651
75,4939.65,0.84501,0.73659,1.19692,0.80804,0.73431,0.78252,0.57443,0.77017,0.54326,1.08239,0.00166149,0.00166149,0.00166149
76,5004.74,0.8417,0.72779,1.19253,0.81098,0.73363,0.78308,0.57462,0.76915,0.54253,1.08157,0.00154982,0.00154982,0.00154982
77,5070.08,0.83422,0.71971,1.18629,0.81451,0.73257,0.78334,0.57509,0.76876,0.5417,1.08138,0.00144161,0.00144161,0.00144161
78,5135.34,0.83211,0.7193,1.18689,0.81991,0.73175,0.78359,0.57573,0.76854,0.54099,1.08118,0.00133695,0.00133695,0.00133695
79,5200.53,0.82874,0.71963,1.185,0.81827,0.73234,0.78396,0.5764,0.76796,0.54016,1.08069,0.00123596,0.00123596,0.00123596
80,5265.56,0.82215,0.70435,1.18269,0.81714,0.73156,0.78396,0.57667,0.76776,0.53997,1.08071,0.00113873,0.00113873,0.00113873
81,5330.45,0.81727,0.69776,1.17668,0.81886,0.73157,0.78396,0.57723,0.7672,0.53927,1.08043,0.00104537,0.00104537,0.00104537
82,5395.62,0.82254,0.7022,1.18109,0.82513,0.7293,0.78411,0.57725,0.76643,0.53849,1.08001,0.000955951,0.000955951,0.000955951
83,5460.78,0.81517,0.70394,1.17816,0.81969,0.73259,0.78454,0.57783,0.76618,0.53764,1.07994,0.000870577,0.000870577,0.000870577
84,5526,0.81538,0.69344,1.17416,0.822,0.73215,0.78446,0.57778,0.76591,0.53749,1.07976,0.000789327,0.000789327,0.000789327
85,5590.92,0.81117,0.69738,1.17488,0.82217,0.73293,0.78478,0.57791,0.76562,0.53731,1.07951,0.000712282,0.000712282,0.000712282
86,5655.92,0.8133,0.69247,1.17472,0.82303,0.73284,0.78498,0.57818,0.76541,0.53702,1.07941,0.000639518,0.000639518,0.000639518
87,5721.07,0.8062,0.68791,1.17271,0.82474,0.732,0.78501,0.57844,0.76504,0.53686,1.07924,0.000571106,0.000571106,0.000571106
88,5786.45,0.80346,0.68531,1.16861,0.82622,0.73108,0.78524,0.57863,0.76496,0.53623,1.07913,0.000507115,0.000507115,0.000507115
89,5851.66,0.79515,0.67791,1.1633,0.82956,0.72985,0.78532,0.57886,0.76487,0.5359,1.07906,0.000447606,0.000447606,0.000447606
90,5917.06,0.79661,0.6754,1.16633,0.82597,0.73173,0.78521,0.57877,0.76471,0.53527,1.07895,0.00039264,0.00039264,0.00039264
91,5984.47,0.68717,0.47483,1.08712,0.83251,0.72856,0.78523,0.57926,0.76471,0.53504,1.07905,0.00034227,0.00034227,0.00034227
92,6049.5,0.66775,0.44979,1.07694,0.8361,0.72709,0.78539,0.57954,0.76445,0.53484,1.07894,0.000296546,0.000296546,0.000296546
93,6114.29,0.66837,0.4498,1.08247,0.82461,0.73202,0.78536,0.57987,0.7641,0.53435,1.07869,0.000255513,0.000255513,0.000255513
94,6178.86,0.65948,0.44099,1.07377,0.82335,0.7318,0.78527,0.58019,0.76398,0.53382,1.0786,0.000219212,0.000219212,0.000219212
95,6243.94,0.65824,0.43736,1.07588,0.83649,0.72613,0.78546,0.58033,0.76378,0.53364,1.07862,0.000187678,0.000187678,0.000187678
96,6308.86,0.65517,0.44008,1.07189,0.82314,0.73254,0.78558,0.58075,0.76371,0.53325,1.07865,0.000160943,0.000160943,0.000160943
97,6374.15,0.65227,0.43361,1.0754,0.82363,0.73372,0.78558,0.58044,0.7635,0.53302,1.07855,0.000139032,0.000139032,0.000139032
98,6439.23,0.65065,0.43149,1.06903,0.83441,0.728,0.78593,0.58076,0.76356,0.53287,1.07882,0.000121968,0.000121968,0.000121968
99,6504.1,0.64812,0.43425,1.06879,0.83383,0.72802,0.78603,0.58099,0.76339,0.53268,1.07879,0.000109768,0.000109768,0.000109768
100,6569.09,0.64978,0.43436,1.07076,0.83586,0.72645,0.78565,0.58089,0.7631,0.53281,1.07863,0.000102443,0.000102443,0.000102443
