epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2651,1.36358,1.75404,1.52805,0.50295,0.46422,0.45072,0.25184,1.29783,1.19582,1.3917,0.0701364,0.00331818,0.00331818
2,159.555,1.24973,1.29314,1.45033,0.34941,0.27686,0.24126,0.10526,2.02886,1.93619,2.10891,0.0401347,0.00664989,0.00664989
3,227.771,1.37738,1.50686,1.56316,0.205,0.164,0.11638,0.0548,1.99228,4.44337,2.28808,0.0101266,0.0099751,0.0099751
4,294.059,1.47317,1.70372,1.65995,0.44895,0.27801,0.24191,0.11295,1.84084,2.45574,2.02833,0.00997803,0.00997803,0.00997803
5,360.037,1.40913,1.60205,1.61743,0.4636,0.38397,0.38223,0.1955,1.44779,1.483,1.61509,0.00996097,0.00996097,0.00996097
6,426.072,1.35051,1.49894,1.57014,0.47669,0.39006,0.38501,0.21399,1.35442,1.38039,1.5601,0.00993906,0.00993906,0.00993906
7,491.827,1.32786,1.46488,1.55804,0.59291,0.41243,0.44983,0.24756,1.40688,1.28508,1.58228,0.00991232,0.00991232,0.00991232
8,557.881,1.28563,1.39064,1.51939,0.58813,0.38991,0.42578,0.23864,1.28607,1.30893,1.51233,0.00988079,0.00988079,0.00988079
9,623.642,1.26083,1.35254,1.501,0.60398,0.47256,0.51831,0.302,1.20037,1.08287,1.43678,0.00984449,0.00984449,0.00984449
10,689.505,1.24277,1.31493,1.489,0.59366,0.4807,0.52002,0.30443,1.18738,1.09204,1.43499,0.00980345,0.00980345,0.00980345
11,755.247,1.22732,1.29134,1.47853,0.66059,0.48982,0.54302,0.32869,1.14025,1.04288,1.3745,0.00975773,0.00975773,0.00975773
12,820.999,1.19743,1.25251,1.45499,0.64614,0.52434,0.57725,0.34687,1.18165,1.00377,1.37549,0.00970736,0.00970736,0.00970736
13,886.561,1.19883,1.24372,1.45351,0.70043,0.49187,0.54551,0.32887,1.13959,1.02072,1.36317,0.00965239,0.00965239,0.00965239
14,952.021,1.18457,1.22528,1.44414,0.67682,0.54155,0.6018,0.37386,1.10837,0.92512,1.3231,0.00959289,0.00959289,0.00959289
15,1017.8,1.17832,1.20579,1.43701,0.64623,0.5501,0.59857,0.37457,1.07549,0.92676,1.32734,0.00952889,0.00952889,0.00952889
