epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9279.61,1.20191,1.2177,1.3255,0.70698,0.57966,0.63433,0.43019,1.18455,1.01871,1.2582,0.005842,0.005842,0.005842
44,9496.49,1.1937,1.21076,1.32249,0.71004,0.57875,0.63502,0.43088,1.18303,1.01543,1.2562,0.005743,0.005743,0.005743
45,9714.32,1.18575,1.20284,1.31883,0.70712,0.57909,0.63541,0.43184,1.1818,1.01268,1.25513,0.005644,0.005644,0.005644
46,9927.05,1.18823,1.19702,1.31985,0.70687,0.58105,0.63632,0.43242,1.18081,1.00978,1.25411,0.005545,0.005545,0.005545
47,10135.9,1.17933,1.18482,1.31229,0.70981,0.58052,0.637,0.43321,1.17982,1.00763,1.25321,0.005446,0.005446,0.005446
48,10345,1.18355,1.18743,1.31264,0.70467,0.58389,0.6376,0.43364,1.17876,1.00605,1.25236,0.005347,0.005347,0.005347
49,10553.7,1.1797,1.17365,1.30768,0.70205,0.58446,0.6381,0.43437,1.17826,1.00453,1.25148,0.005248,0.005248,0.005248
50,10769.9,1.1717,1.16788,1.30642,0.69935,0.58761,0.6389,0.43517,1.17755,1.0019,1.25086,0.005149,0.005149,0.005149
51,11002.5,1.16866,1.15632,1.2997,0.70291,0.58819,0.63972,0.43554,1.17661,0.99968,1.24991,0.00505,0.00505,0.00505
52,11212.2,1.17124,1.15702,1.30196,0.69935,0.58921,0.64083,0.43626,1.17578,0.99834,1.24943,0.004951,0.004951,0.004951
53,11420.9,1.1609,1.15037,1.29678,0.69962,0.58973,0.64107,0.43693,1.17567,0.99628,1.24938,0.004852,0.004852,0.004852
54,11629.7,1.15769,1.14357,1.2937,0.7019,0.58954,0.64165,0.43721,1.17525,0.9949,1.24941,0.004753,0.004753,0.004753
55,11838.5,1.15678,1.13209,1.29094,0.70437,0.59008,0.6421,0.43784,1.17436,0.99413,1.24843,0.004654,0.004654,0.004654
56,12047.4,1.15218,1.13034,1.28688,0.70609,0.58996,0.64264,0.4381,1.17433,0.99244,1.24819,0.004555,0.004555,0.004555
57,12256.3,1.14775,1.11775,1.28396,0.70356,0.59101,0.643,0.43851,1.17373,0.99115,1.24742,0.004456,0.004456,0.004456
58,12465.2,1.14448,1.11812,1.28196,0.7024,0.59235,0.64348,0.43908,1.17362,0.99006,1.24728,0.004357,0.004357,0.004357
59,12674.2,1.14253,1.11009,1.28302,0.70012,0.59576,0.64386,0.43954,1.17305,0.98867,1.24682,0.004258,0.004258,0.004258
60,12882.9,1.13834,1.1005,1.27917,0.70005,0.59528,0.64481,0.44025,1.17237,0.98702,1.24642,0.004159,0.004159,0.004159
61,13091.8,1.13222,1.10029,1.27601,0.70225,0.59392,0.64535,0.44075,1.17154,0.98609,1.24583,0.00406,0.00406,0.00406
62,13300.7,1.13041,1.09232,1.27021,0.70078,0.59708,0.64601,0.4415,1.17117,0.98486,1.24511,0.003961,0.003961,0.003961
63,13509.4,1.12772,1.08328,1.26859,0.7004,0.59983,0.64656,0.44196,1.17112,0.98344,1.24506,0.003862,0.003862,0.003862
64,13718.2,1.12699,1.08009,1.26815,0.702,0.60002,0.64697,0.44233,1.17056,0.98243,1.24445,0.003763,0.003763,0.003763
65,13926.9,1.11957,1.07186,1.26409,0.70299,0.60025,0.64795,0.44303,1.17008,0.98137,1.2442,0.003664,0.003664,0.003664
66,14135.6,1.11516,1.05946,1.26134,0.70632,0.60077,0.64886,0.44355,1.16903,0.98065,1.24307,0.003565,0.003565,0.003565
67,14344.6,1.11943,1.06687,1.26195,0.71034,0.59972,0.64979,0.44413,1.16837,0.97977,1.24231,0.003466,0.003466,0.003466
68,14553.3,1.10976,1.05308,1.25709,0.71222,0.5992,0.65029,0.44458,1.16795,0.97833,1.24146,0.003367,0.003367,0.003367
69,14762.4,1.10516,1.04016,1.253,0.7157,0.59848,0.65038,0.44486,1.16762,0.97729,1.24095,0.003268,0.003268,0.003268
70,14971.4,1.10097,1.03129,1.24948,0.71789,0.59795,0.65085,0.44535,1.16735,0.97616,1.24058,0.003169,0.003169,0.003169
71,15180.3,1.09813,1.03242,1.24936,0.71924,0.59771,0.6514,0.44586,1.16701,0.97514,1.24024,0.00307,0.00307,0.00307
72,15388.7,1.09519,1.02733,1.24616,0.72344,0.59639,0.6518,0.44622,1.16655,0.97388,1.23934,0.002971,0.002971,0.002971
73,15597.5,1.09686,1.02531,1.24523,0.71757,0.59985,0.65205,0.44677,1.16659,0.97306,1.23924,0.002872,0.002872,0.002872
