epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2727.38,1.30232,1.23194,1.4438,0.77853,0.66476,0.72904,0.48155,1.32478,0.93339,1.38755,0.00492625,0.00492625,0.00492625
43,2791.79,1.30037,1.22386,1.44012,0.78603,0.66433,0.72799,0.48417,1.32117,0.93136,1.38407,0.0048025,0.0048025,0.0048025
44,2856.13,1.2974,1.21943,1.43901,0.76211,0.67306,0.72887,0.48482,1.31441,0.93344,1.37671,0.00467875,0.00467875,0.00467875
45,2920.09,1.29255,1.20695,1.43385,0.78595,0.6695,0.73401,0.48936,1.31244,0.91956,1.36767,0.004555,0.004555,0.004555
46,2984.22,1.27512,1.18815,1.42107,0.77111,0.6701,0.73296,0.49116,1.31068,0.92143,1.36694,0.00443125,0.00443125,0.00443125
47,3048.33,1.27455,1.17184,1.41889,0.78063,0.68593,0.73855,0.49715,1.29998,0.90794,1.3618,0.0043075,0.0043075,0.0043075
48,3112.16,1.27435,1.17471,1.41477,0.79411,0.67982,0.73963,0.5003,1.30214,0.90222,1.36149,0.00418375,0.00418375,0.00418375
49,3175.93,1.25521,1.15721,1.40671,0.79377,0.67792,0.74292,0.50082,1.29916,0.89616,1.35708,0.00406,0.00406,0.00406
50,3239.56,1.255,1.14127,1.39714,0.79297,0.68262,0.74411,0.50455,1.2957,0.89528,1.35372,0.00393625,0.00393625,0.00393625
51,3303.54,1.25045,1.12742,1.39512,0.78194,0.68903,0.74184,0.50371,1.29539,0.89811,1.35603,0.0038125,0.0038125,0.0038125
52,3367.09,1.236,1.12469,1.39173,0.77909,0.6906,0.74216,0.50457,1.29408,0.89583,1.36204,0.00368875,0.00368875,0.00368875
53,3430.76,1.23577,1.11779,1.38673,0.79218,0.68744,0.7421,0.50604,1.28938,0.8834,1.35826,0.003565,0.003565,0.003565
54,3494.68,1.2282,1.09723,1.3792,0.79749,0.68543,0.74522,0.51003,1.28229,0.87756,1.35335,0.00344125,0.00344125,0.00344125
55,3558.46,1.22542,1.09743,1.38231,0.80809,0.6846,0.74631,0.51308,1.27241,0.87224,1.3456,0.0033175,0.0033175,0.0033175
56,3622.44,1.22302,1.08175,1.37341,0.80731,0.69163,0.75042,0.51902,1.26509,0.86146,1.33641,0.00319375,0.00319375,0.00319375
57,3686.49,1.20662,1.06638,1.35894,0.79912,0.69777,0.75285,0.51991,1.26238,0.85834,1.33113,0.00307,0.00307,0.00307
58,3750.47,1.1982,1.05388,1.35778,0.81463,0.69444,0.75658,0.52381,1.25774,0.85533,1.32665,0.00294625,0.00294625,0.00294625
59,3814.79,1.19685,1.04663,1.35288,0.81459,0.69802,0.75838,0.52488,1.25212,0.84938,1.3242,0.0028225,0.0028225,0.0028225
60,3878.63,1.18752,1.03665,1.34742,0.8152,0.70081,0.75977,0.52773,1.24836,0.84385,1.32141,0.00269875,0.00269875,0.00269875
61,3942.42,1.18315,1.02751,1.34185,0.821,0.69747,0.76078,0.5274,1.24702,0.84251,1.32069,0.002575,0.002575,0.002575
62,4006.04,1.17189,1.006,1.33748,0.79562,0.71263,0.75977,0.52947,1.24581,0.84146,1.31771,0.00245125,0.00245125,0.00245125
63,4070.3,1.16319,1.0028,1.32921,0.79557,0.71513,0.76082,0.53091,1.24476,0.83688,1.31655,0.0023275,0.0023275,0.0023275
64,4134.42,1.15516,0.98432,1.32522,0.79662,0.71542,0.76104,0.53223,1.2425,0.83616,1.31442,0.00220375,0.00220375,0.00220375
65,4198.27,1.15438,0.98802,1.32352,0.78824,0.71948,0.76064,0.53291,1.2394,0.83361,1.3125,0.00208,0.00208,0.00208
66,4262.64,1.15313,0.98149,1.31923,0.79772,0.71914,0.76179,0.53256,1.23822,0.834,1.31096,0.00195625,0.00195625,0.00195625
67,4326.82,1.14103,0.96197,1.30752,0.79748,0.72048,0.76193,0.5332,1.23754,0.83084,1.31044,0.0018325,0.0018325,0.0018325
68,4390.78,1.13759,0.95662,1.31084,0.80386,0.71875,0.7625,0.53559,1.23511,0.82782,1.30874,0.00170875,0.00170875,0.00170875
69,4454.85,1.1293,0.95258,1.30264,0.80946,0.71626,0.76306,0.53679,1.23256,0.82597,1.30651,0.001585,0.001585,0.001585
70,4518.75,1.12762,0.95209,1.30479,0.80492,0.72086,0.7635,0.53799,1.23052,0.82488,1.3056,0.00146125,0.00146125,0.00146125
71,4586.89,1.00549,0.63253,1.20971,0.80888,0.71829,0.76352,0.53866,1.22986,0.82434,1.30506,0.0013375,0.0013375,0.0013375
72,4650.57,0.98938,0.60185,1.20044,0.81173,0.71709,0.76306,0.53927,1.22924,0.82391,1.30442,0.00121375,0.00121375,0.00121375
73,4714.3,0.97948,0.59102,1.19642,0.81801,0.71591,0.76391,0.54036,1.22746,0.82256,1.30337,0.00109,0.00109,0.00109
74,4778.33,0.96302,0.58145,1.18274,0.82485,0.71323,0.76359,0.54106,1.22551,0.82211,1.30246,0.00096625,0.00096625,0.00096625
75,4842.38,0.94935,0.57033,1.17756,0.82711,0.70925,0.76318,0.54176,1.22485,0.82208,1.3023,0.0008425,0.0008425,0.0008425
76,4906.13,0.94233,0.56395,1.1688,0.82703,0.70955,0.76329,0.54254,1.22356,0.82207,1.30173,0.00071875,0.00071875,0.00071875
77,4969.71,0.92813,0.55221,1.16323,0.8268,0.7089,0.76314,0.54302,1.22253,0.82122,1.30162,0.000595,0.000595,0.000595
78,5033.3,0.91412,0.53437,1.14959,0.80611,0.72242,0.76313,0.54367,1.22126,0.82052,1.30124,0.00047125,0.00047125,0.00047125
79,5096.75,0.914,0.53203,1.14664,0.8064,0.72201,0.76314,0.5439,1.22056,0.8207,1.30088,0.0003475,0.0003475,0.0003475
80,5160.26,0.90177,0.52541,1.14166,0.81005,0.72145,0.76303,0.54482,1.22024,0.82025,1.30101,0.00022375,0.00022375,0.00022375
